"location","全部","兒少保護","老人保護","其他家虐","親密關係"
"中山區朱園里",44,0,1,13,30
"中正區愛國里",8,1,1,2,4
"中正區板溪里",18,0,4,6,8
"中正區頂東里",15,1,2,5,7
"中正區東門里",9,0,0,4,5
"中正區富水里",11,2,0,5,4
"中正區光復里",11,1,0,3,7
"中正區河堤里",13,1,2,4,6
"中正區建國里",7,2,0,1,4
"中正區黎明里",5,0,0,2,3
"中正區林興里",20,1,2,7,10
"中正區龍福里",9,1,1,3,4
"中正區龍光里",10,0,0,2,8
"中正區龍興里",7,0,2,1,4
"中正區梅花里",15,0,3,4,8
"中正區南福里",20,1,2,3,14
"中正區南門里",2,0,0,1,1
"中正區三愛里",12,0,0,8,4
"中正區廈安里",13,0,0,5,8
"中正區水源里",6,0,0,1,5
"中正區網溪里",14,1,0,2,11
"中正區文北里",17,3,1,4,9
"中正區文盛里",14,1,0,7,6
"中正區文祥里",16,3,0,5,8
"中正區新營里",15,0,1,6,8
"中正區幸福里",15,0,1,5,9
"中正區幸市里",9,0,0,2,7
"中正區螢圃里",18,1,1,7,9
"中正區螢雪里",12,0,1,2,9
"中正區永昌里",10,0,1,6,3
"中正區永功里",20,2,1,9,8
"中正區忠勤里",39,1,6,13,19
"NANA",19,3,1,6,9
