"","district","town"
"634","內湖區","樂康里"
"635","松山區","東光里"
"636","萬華區","銘德里"
"637","萬華區","孝德里"
"638","北投區","清江里"
"639","中正區","忠勤里"
"640","信義區","中行里"
"641","中山區","大直里"
"642","內湖區","五分里"
"643","士林區","三玉里"
"644","中山區","江山里"
"645","中山區","江山里"
"646","中山區","朱馥里"
"647","內湖區","瑞光里"
"648","松山區","復盛里"
"649","文山區","興安里"
"650","南港區","新富里"
"651","北投區","東華里"
"652","內湖區","康寧里"
"653","文山區","萬和里"
"654","萬華區","青山里"
"655","大安區","龍生里"
"656","內湖區","碧山里"
"657","內湖區","碧山里"
"658","內湖區","碧山里"
"659","南港區","東新里"
"660","北投區","振華里"
"661","萬華區","新安里"
"662","文山區","政大里"
"663","萬華區","華江里"
"664","萬華區","福星里"
"665","松山區","民福里"
"666","南港區","新富里"
"667","中山區","新生里"
"668","中正區","富水里"
"669","萬華區","和德里"
"670","南港區","東新里"
"671","南港區","東新里"
"672","北投區","桃源里"
"673","松山區","龍田里"
"674","松山區","龍田里"
"675","士林區","天和里"
"676","中山區","正守里"
"677","文山區","景慶里"
"678","大安區","龍圖里"
"679","大安區","龍圖里"
"680","士林區","芝山里"
"681","北投區","關渡里"
"682","中山區","晴光里"
"683","內湖區","週美里"
"684","文山區","明義里"
"685","南港區","中研里"
"686","內湖區","樂康里"
"687","文山區","興旺里"
"688","松山區","富錦里"
"689","士林區","承德里"
"690","中山區","晴光里"
"691","大安區","通安里"
"692","大安區","義村里"
"693","內湖區","紫星里"
"694","士林區","社新里"
"695","南港區","鴻福里"
"696",NA,NA
"697","松山區","中華里"
"698","中山區","康樂里"
"699","北投區","裕民里"
"700","北投區","中庸里"
"701","松山區","慈祐里"
"702","士林區","承德里"
"703","士林區","德華里"
"704","士林區","天玉里"
"705","士林區","天玉里"
"706","中山區","朱園里"
"707","士林區","福中里"
"708","士林區","德華里"
"709","士林區","福佳里"
"710","內湖區","紫陽里"
"711","內湖區","西湖里"
"712","大同區","延平里"
"713","北投區","清江里"
"714","士林區","富洲里"
"715","大安區","敦煌里"
"716","文山區","華興里"
"717","信義區","三犁里"
"718","文山區","政大里"
"719","大同區","重慶里"
"720","大同區","斯文里"
"721","大同區","重慶里"
"722","大同區","斯文里"
"723","北投區","榮華里"
"724","士林區","天玉里"
"725","內湖區","清白里"
"726","文山區","樟文里"
"727","文山區","樟文里"
"728","文山區","萬和里"
"729","士林區","社園里"
"730","中山區","朱崙里"
"731","大同區","斯文里"
"732","大同區","蓬萊里"
"733","大同區","蓬萊里"
"734","中正區","南福里"
"735","士林區","福德里"
"736","士林區","福德里"
"737","南港區","合成里"
"738","文山區","興旺里"
"739","北投區","桃源里"
"740","北投區","桃源里"
